"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art derMaßnahme"
"",2004,AA,Afghanistan,Gemeinschaftsforen als Friedenskapazitäten,"203.985,00 €",0502 687 44,zivil
"",2004,AA,Afghanistan,Südasien Projekt,"150.000,00 €",0502 687 44,zivil
"",2004,AA,Afghanistan,Richterausbildung im Fair Trial in Afghanistan,"9.000,00 €",0502 687 44,zivil
"",2004,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"100.498,07 €",2302 89603,zivil
"",2004,AA,Afghanistan,Kampfmittelbeseitigung,"635.243,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Humanitäre Hilfe und humanitäres Minenräumen,"2.898.084,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Menschenrechte und Demokratisierung,"2.943.782,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Aufbau der afghanischen Polizei,"11.768.474,35 €",2302 89603,polizeilich
"",2004,AA,Afghanistan,Förderung des Aufbaus von Wirtschaftsstrukturen,"387.400,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Kultur- und Medienbeziehungen,"1.096.009,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Hochschulkooperation,"2.556.050,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Schul- und Sportförderung,"810.100,00 €",2302 89603,zivil
"",2004,AA,Afghanistan,Förderung der Zivilgesellschaft,"1.466.193,00 €",2302 89603,zivil
"",2004,BMZ,Afghanistan,Erneuerbare Energien u. Energieeffizienz in ländlichen Regionen,"1.485,40 €",2301/89603,zivil
"",2004,BMZ,Afghanistan,Förderung von Betreiberstrukturen der Trinkwasserver- und Abwasserentsorgung in den Provinzen,"343,08 €",2301/89603,zivil
"",2004,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"100.000,00 €",2302/68703,zivil
"",2004,BMZ,Afghanistan,Politischer Dialog und Institutionenförderung in Pakistan und Afghanistan,"586.000,00 €",2302/68704,zivil
"",2004,BMZ,Afghanistan,Rehabilitierung der Wasserkraftwerke Mahipar und Sarobi,"2.279.588,31 €",86611/89611,zivil
"",2004,BMZ,Afghanistan,Bildungsarbeit und Zivile Konfliktbearbeitung für gerechten und dauerhaften Frieden,"552.377,00 €",2302/68702,zivil
"",2004,BMVg,Afghanistan,Abgabe von Sanitätsgerät nach Epl 14 Kapitel 1407 Einnahmen Haushaltsvermerk Nr.12,"73.153,00 €",132 01,zivil
"",2004,BKA,Afghanistan,"Lehrgang ""Rauschgiftbekämpfung und Containerdetektion""",k.A.,k.A.,polizeilich
"",2004,BKA,Afghanistan,"Führungs- und Einsatzmittel, kriminaltechnisches Gerät",k.A.,k.A.,polizeilich
"",2005,AA,Afghanistan,Gemeinschaftsforen als Friedenskapazitäten,"67.760,00 €",0502 687 44,zivil
"",2005,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"108.858,79 €",2302 89603,zivil
"",2005,AA,Afghanistan,Kampfmittelbeseitigung,"350.000,00 €",2302 89603,zivil
"",2005,AA,Afghanistan,Programm zur Ausbildung afghanischer Richter,"340.257,84 €",2302 89603,zivil
